"시점","시도별(1)",계,논,밭
"2020","경상남도",141889.4558,80952.1824,60937.2734
"2020","제주도",58653.6309,16.9589,58636.672
"2021","전국",1546716.6463,780439.5935,766277.0528
"2021","서울특별시",618.5349,195.8483,422.6866
"2021","부산광역시",5041.6399,2277.8394,2763.8005
"2021","대구광역시",7037.9235,2660.185,4377.7385
"2021","인천광역시",17620.0678,12413.1861,5206.8817
"2021","광주광역시",9368.2151,4579.607,4788.6081
"2021","대전광역시",3961.0892,1137.4177,2823.6715
"2021","울산광역시",9273.7725,4423.8467,4849.9258
"2021","세종특별자치시",7357.6478,3703.6058,3654.042
"2021","경기도",152352.7035,80949.6393,71403.0642
"2021","강원도",102128.2175,31718.2942,70409.9233
"2021","충청북도",98041.0864,35348.8835,62692.2029
"2021","충청남도",217425.4603,141924.7967,75500.6636
"2021","전라북도",191600.9987,123903.719,67697.2797
"2021","전라남도",281076.8519,167298.9753,113777.8766
"2021","경상북도",249272.7735,102399.4182,146873.3553
"2021","경상남도",138184.6566,65490.8076,72693.849
"2021","제주도",56355.0072,13.5237,56341.4835
"2022","전국",1528237.2753,775639.8583,752597.417
"2022","서울특별시",613.0278,190.2606,422.7672
"2022","부산광역시",4831.7754,2267.6106,2564.1648
"2022","대구광역시",6917.2015,2952.9468,3964.2547
"2022","인천광역시",17498.9247,12287.6782,5211.2465
"2022","광주광역시",9240.2415,4599.7353,4640.5062
"2022","대전광역시",3858.1185,1103.7577,2754.3608
"2022","울산광역시",8983.9543,4267.7702,4716.1841
"2022","세종특별자치시",7020.7872,3526.3424,3494.4448
"2022","경기도",150188.426,79996.2226,70192.2034
"2022","강원도",101104.1208,31092.1835,70011.9373
"2022","충청북도",96101.7,35133.9077,60967.7923
"2022","충청남도",215692.6963,141674.3249,74018.3714
"2022","전라북도",190410.3855,123820.7609,66589.6246
"2022","전라남도",277095.0727,165770.0368,111325.0359
"2022","경상북도",246429.0075,102302.9588,144126.0487
"2022","경상남도",136294.3637,64641.1515,71653.2122
"2022","제주도",55957.4719,12.2098,55945.2621
"2023","전국",1512144.928,763989.2373,748155.6911
"2023","서울특별시",607.2909,200.4655,406.8254
"2023","부산광역시",4796.8333,2277.625,2519.2083
"2023","대구광역시",6821.4918,2948.8677,3872.6241
"2023","인천광역시",17342.9411,12189.1578,5153.7833
"2023","광주광역시",9145.4129,4979.934,4165.4789
"2023","대전광역시",3731.1508,1075.4099,2655.7409
"2023","울산광역시",8797.6491,4075.8965,4721.7526
"2023","세종특별자치시",6813.7279,3412.3637,3401.3642
"2023","경기도",147502.5845,77214.3334,70288.2511
"2023","강원도",100225.53,30188.55,70036.98
"2023","충청북도",94782.69,34654.59,60128.1
"2023","충청남도",213714.84,140058.16,73656.68
"2023","전라북도",189147.88,121553.16,67594.72
"2023","전라남도",274435.2955,163687.9535,110747.342
"2023","경상북도",243936.4,100586.67,143349.73
"2023","경상남도",134738.14,64873.9,69864.25
"2023","제주도",55605.07,12.21,55592.86
"2024","전국",1504614.696,761011.3798,743603.3162
"2024","서울특별시",599.1683,193.587,405.5813
"2024","부산광역시",4773.8643,2305.7383,2468.126
"2024","대구광역시",13596.5088,5472.6978,8123.811
"2024","인천광역시",17241.8595,12168.7233,5073.1362
"2024","광주광역시",9035.4331,4990.3905,4045.0426
"2024","대전광역시",3682.1024,1070.4809,2611.6215
"2024","울산광역시",8684.1665,4012.3487,4671.8178
"2024","세종특별자치시",6766.2573,3392.952,3373.3053
"2024","경기도",146381.8925,76489.0943,69892.7982
"2024","강원도",99531.0154,29895.7937,69635.2217
"2024","충청북도",94216.1406,34627.7914,59588.3492
"2024","충청남도",212711.9904,139685.5339,73026.4565
"2024","전라북도",188388.6961,121610.2696,66778.4265
"2024","전라남도",273506.6922,161877.7619,111628.9303
"2024","경상북도",235889.2139,97926.5001,137962.7138
"2024","경상남도",134242.7692,65279.5066,68963.2626
"2024","제주도",55366.9255,12.2098,55354.7157
