"시점",총 계,총 계,총 계,총 계,총 계,총 계,총 계,총 계,총 계,총 계,총 계,총 계,총 계,총 계,총 계,총 계,총 계,총 계,총 계,총 계,총 계,총 계,총 계,총 계,총 계,총 계,총 계,총 계,총 계,총 계,총 계,총 계,총 계,총 계,총 계,총 계,남자,남자,남자,남자,남자,남자,남자,남자,남자,남자,남자,남자,남자,남자,남자,남자,남자,남자,남자,남자,남자,남자,남자,남자,남자,남자,남자,남자,남자,남자,남자,남자,남자,남자,남자,남자,여자,여자,여자,여자,여자,여자,여자,여자,여자,여자,여자,여자,여자,여자,여자,여자,여자,여자,여자,여자,여자,여자,여자,여자,여자,여자,여자,여자,여자,여자,여자,여자,여자,여자,여자,여자
"시점",평균소득,평균소득,평균소득,평균소득,평균소득,평균소득,평균소득,평균소득,평균소득,평균소득,평균소득,평균소득,평균소득,평균소득,평균소득,평균소득,평균소득,평균소득,중위소득,중위소득,중위소득,중위소득,중위소득,중위소득,중위소득,중위소득,중위소득,중위소득,중위소득,중위소득,중위소득,중위소득,중위소득,중위소득,중위소득,중위소득,평균소득,평균소득,평균소득,평균소득,평균소득,평균소득,평균소득,평균소득,평균소득,평균소득,평균소득,평균소득,평균소득,평균소득,평균소득,평균소득,평균소득,평균소득,중위소득,중위소득,중위소득,중위소득,중위소득,중위소득,중위소득,중위소득,중위소득,중위소득,중위소득,중위소득,중위소득,중위소득,중위소득,중위소득,중위소득,중위소득,평균소득,평균소득,평균소득,평균소득,평균소득,평균소득,평균소득,평균소득,평균소득,평균소득,평균소득,평균소득,평균소득,평균소득,평균소득,평균소득,평균소득,평균소득,중위소득,중위소득,중위소득,중위소득,중위소득,중위소득,중위소득,중위소득,중위소득,중위소득,중위소득,중위소득,중위소득,중위소득,중위소득,중위소득,중위소득,중위소득
"시점",총 계,19세 이하,20~29세,20~29세,20~29세,30~39세,30~39세,30~39세,40~49세,40~49세,40~49세,50~59세,50~59세,50~59세,60~69세,60~69세,60~69세,70세 이상,총 계,19세 이하,20~29세,20~29세,20~29세,30~39세,30~39세,30~39세,40~49세,40~49세,40~49세,50~59세,50~59세,50~59세,60~69세,60~69세,60~69세,70세 이상,총 계,19세 이하,20~29세,20~29세,20~29세,30~39세,30~39세,30~39세,40~49세,40~49세,40~49세,50~59세,50~59세,50~59세,60~69세,60~69세,60~69세,70세 이상,총 계,19세 이하,20~29세,20~29세,20~29세,30~39세,30~39세,30~39세,40~49세,40~49세,40~49세,50~59세,50~59세,50~59세,60~69세,60~69세,60~69세,70세 이상,총 계,19세 이하,20~29세,20~29세,20~29세,30~39세,30~39세,30~39세,40~49세,40~49세,40~49세,50~59세,50~59세,50~59세,60~69세,60~69세,60~69세,70세 이상,총 계,19세 이하,20~29세,20~29세,20~29세,30~39세,30~39세,30~39세,40~49세,40~49세,40~49세,50~59세,50~59세,50~59세,60~69세,60~69세,60~69세,70세 이상
"시점",소계,소계,소계,20~24세,25~29세,소계,30~34세,35~39세,소계,40~44세,45~49세,소계,50~54세,55~59세,소계,60~64세,65~69세,소계,소계,소계,소계,20~24세,25~29세,소계,30~34세,35~39세,소계,40~44세,45~49세,소계,50~54세,55~59세,소계,60~64세,65~69세,소계,소계,소계,소계,20~24세,25~29세,소계,30~34세,35~39세,소계,40~44세,45~49세,소계,50~54세,55~59세,소계,60~64세,65~69세,소계,소계,소계,소계,20~24세,25~29세,소계,30~34세,35~39세,소계,40~44세,45~49세,소계,50~54세,55~59세,소계,60~64세,65~69세,소계,소계,소계,소계,20~24세,25~29세,소계,30~34세,35~39세,소계,40~44세,45~49세,소계,50~54세,55~59세,소계,60~64세,65~69세,소계,소계,소계,소계,20~24세,25~29세,소계,30~34세,35~39세,소계,40~44세,45~49세,소계,50~54세,55~59세,소계,60~64세,65~69세,소계
"2019",309.0488,84.3,220.8721,168.1785,251.4482,335.2607,311.589,356.0691,380.9579,379.3381,382.3808,357.2768,375.3285,337.0874,234.6441,253.7938,198.0205,125.4553,233.9011,52.129,211.4567,178.6766,236.6143,299.5433,285.2749,317.1272,298.5487,316.6345,280.2014,235.9178,250.0007,220.0007,176.152,184.3068,157.5,60.3436,360.2495,90.0014,228.9829,171.0764,257.9243,361.6894,328.558,389.7787,442.3191,430.1512,453.2012,435.4389,457.9624,410.7015,283.9378,304.2864,244.0587,182.585,282.7138,56.6,222.2972,179.9146,246.5088,328.5152,304.3948,354.3542,381.5923,383.0371,380.0015,321.6654,351.1118,293.8098,198.3684,210,181.913,126.1805,236.037,78.6023,212.1213,165.5985,243.6338,293.8222,286.2575,300.8587,286.2699,298.9921,275.4002,237.7954,251.7158,221.7876,156.7398,172.2511,128.1872,65.9501,195.8073,50,203.305,177.8493,226.2757,251.777,254.773,248.8235,210.7997,222.501,204.4395,189.9004,197.0118,182.0012,139.0011,155.4444,111.249,27
"2020",320.1925,95.7724,229.1632,172.9728,258.2224,344.1525,318.6196,367.8142,392.9947,391.779,394.1091,371.1708,388.4035,351.528,243.5187,263.2257,207.0894,135.2706,242.0846,60.5595,217.7395,183,240.9958,305,290.2777,324.9989,309.999,328.6985,293.0013,246.2967,260.5707,230.275,180.2154,189.9998,162.87,74.9995,371.3537,102.1928,238.9591,179.6949,265.4093,370.0522,335.6562,400.7145,453.7988,442.2464,464.6148,449.2775,471.3082,424.6898,292.7454,314.4361,251.7381,189.4755,290.543,69.7261,229.0642,186.9345,250.5545,333.0539,309.0657,360.0068,391.4279,391.6536,391.1778,332.877,363.0598,301.6664,202.6054,218.0598,188.1179,125.0012,247.18,88.9807,218.6439,167.0412,249.6772,303.8635,293.4391,314.1238,299.729,312.1627,288.6965,252.091,265.1091,236.7666,165.7128,180.622,139.1059,76.7104,202.4163,56,209.166,180.8945,231.4005,261.0861,261.7358,260.2108,221.125,235.0818,212.8382,198.5489,203.4716,190.8172,144.6005,160,119.9992,54
"2021",333.4532,89.3444,240.0591,179.5712,271.2126,360.7363,333.4533,387.9291,413.5744,413.4183,413.7254,387.6091,406.5938,365.3051,250.5603,272.8499,211.0701,137.8538,250.0007,55.7629,226.4521,189.0396,250.2349,314.5083,299.9023,335.6905,325.1085,343.3251,305.5963,256,272.8679,239.9997,186.004,196.6681,167.4985,71.7164,388.7742,94.6137,250.5845,185.7674,279.2376,388.9267,351.9068,424.2926,478.3161,468.8464,487.6654,472.452,496.4519,444.8855,303.7785,328.5203,259.0407,197.1329,300,58.05,238.786,192.0204,261.0298,343.5958,319.9347,372.6407,406.4001,406.829,405.6397,349.9985,382.4622,317.3918,210,228.8368,193.0972,138,256.4129,84.4179,228.9792,174.2408,261.8379,318.3947,307.1634,330.3252,315.9611,327.6044,305.048,261.9219,276.8581,243.7757,169.0844,186.0191,139.9971,71.9751,209.6743,54,217.1598,187.4366,239.9997,271.2406,271.1859,271.3,233.9468,248.1848,223.9914,204.1202,211.0704,197.7083,147.8372,166.4765,120,30.6
"2022",353.3541,91.6305,255.3912,190.6526,287.3877,378.9399,351.4452,408.5413,437.7402,435.2118,440.3038,414.6109,433.6102,392.078,270.4015,293.6785,230.4713,153.1932,267.3473,58.4,241.6118,199.2565,265.5679,329.2817,314.5844,350.8836,348.9157,362.369,332.661,278.8113,296.1519,260.4001,199.9227,209.8263,182.3388,81.605,413.9669,97.6377,268.0256,199.2194,297.619,408.9736,372.1486,447.0798,507.7712,494.9419,521.1684,509.1037,530.4755,483.8715,331.0339,357.3304,285.0733,216.5207,320.0715,59.8,254.7974,202.6875,277.6525,358.9045,335.8395,389.9995,432.525,428.3001,438.1734,385.7138,413.7488,351.7079,230.8443,251.3238,207.9557,154.3463,270.9268,86.1742,241.9514,183.096,275.4462,334.7612,322.3885,348.8829,335.0136,344.3691,325.9279,279.9035,296.2123,260.4362,182.2318,199.5432,153.3264,82.7383,222.501,56.8853,230.4428,197.2734,253.4986,286.7562,285.9288,287.985,250.2714,264.92,240.0848,218.5042,226.0171,209.9997,158.7324,179.9998,131.3726,45.8
"2023",363.0686,96.1913,262.9341,196.4582,294.2736,385.789,357.5475,417.8128,451.4008,447.7967,455.2154,428.9994,447.7856,407.6261,281.8988,306.2165,243.5031,156.1808,278.3338,62.4424,251.8348,206.5839,275.1796,338.1056,323.2166,361.6663,364.559,376.6161,349.9985,293.2106,310.0006,275,209.0446,220.2866,194.3686,79.9137,426.2573,103.536,276.8126,208.1874,305.0355,415.752,377.9672,457.2206,523.1524,510.4235,536.9159,527.1708,546.3386,505.3638,346.9509,373.9562,303.4503,223.7551,332.81,65.0126,266.7572,213.9691,287.7843,367.5641,344.2163,401.065,451.4442,446.7965,458.294,406.0868,435.7066,374.712,246.0009,267.1374,220.9071,157.3545,278.5908,89.6157,248.0676,186.04,281.6788,342.2302,328.9537,358.0186,347.7946,355.0371,340.3619,292.496,310.755,271.7216,190.5871,209.3445,161.7862,84.8603,231.7324,60.3041,239.3244,202.0001,262.5993,296.7085,295.0417,299.4034,264.0805,277.3787,253.1883,229.9987,238.561,221.3482,168.1312,190.8342,141.4618,45.9
