시점,행정구역별,도시_산림_인접지수
2016,서울,41.396032278037595
2016,부산,16.807902360967734
2016,대구,17.000413831852683
2016,인천,19.113821929366416
2016,광주,11.971491655824174
2016,대전,17.1935549584695
2016,울산,9.227924748475226
2016,세종,9.358456049744492
2016,경기,19.218271405458406
2016,강원,12.07133098630881
2016,충북,14.584892600578675
2016,충남,11.684929827292963
2016,전북,11.367160600634667
2016,전남,5.927086062387872
2016,경북,10.158779894100785
2016,경남,11.77044112083692
2016,제주,6.547675217321235
2017,서울,41.15927864701143
2017,부산,16.689801722287463
2017,대구,16.944145657344553
2017,인천,19.273166769304055
2017,광주,11.967376914404435
2017,대전,17.08243408059751
2017,울산,9.910485405240395
2017,세종,10.635828562999848
2017,경기,19.46316112876051
2017,강원,12.070981183512773
2017,충북,14.606161711773364
2017,충남,11.867702592005964
2017,전북,11.31252225537337
2017,전남,5.903296425745053
2017,경북,10.137082566189978
2017,경남,11.771284566312966
2017,제주,6.491091526748383
2018,서울,40.87452459653529
2018,부산,16.585993482329208
2018,대구,16.887938072366833
2018,인천,19.0421884489647
2018,광주,11.918719262961226
2018,대전,16.907066191197593
2018,울산,9.846948407422943
2018,세종,11.905475400159842
2018,경기,19.81365103313982
2018,강원,12.039459908994452
2018,충북,14.700387878760388
2018,충남,11.851818550248288
2018,전북,11.26253320431118
2018,전남,5.8241752520972305
2018,경북,10.06107757417153
2018,경남,11.11384972530679
2018,제주,6.654557547935372
2019,서울,40.73308485737118
2019,부산,16.47278236077764
2019,대구,16.758227889808722
2019,인천,20.95806698288538
2019,광주,11.917981867161615
2019,대전,16.75489160580435
2019,울산,9.78787039141514
2019,세종,12.887114538675776
2019,경기,20.095754099490744
2019,강원,12.04245094297499
2019,충북,14.685893919151122
2019,충남,11.925495604464457
2019,전북,11.198737545396899
2019,전남,5.816045901862549
2019,경북,9.976210568799884
2019,경남,11.098668609646184
2019,제주,6.721888652973503
2020,서울,40.4970736759754
2020,부산,16.14430659481108
2020,대구,16.50134234182686
2020,인천,20.555111270049416
2020,광주,11.634765702371269
2020,대전,14.568693436633337
2020,울산,9.543130551315908
2020,세종,13.275890178749666
2020,경기,20.08732063311821
2020,강원,11.895581440007685
2020,충북,14.61192645603448
2020,충남,11.735594145260174
2020,전북,11.117760793977574
2020,전남,5.788471053655698
2020,경북,7.905151130874293
2020,경남,11.02148464672646
2020,제주,6.741492423517228
2021,서울,40.01409043765706
2021,부산,16.023642102456375
2021,대구,16.337379557457982
2021,인천,20.610444764629666
2021,광주,11.619495527948944
2021,대전,14.487876566476169
2021,울산,9.387673258402229
2021,세종,13.656779834026814
2021,경기,20.253115788010927
2021,강원,11.891920272773678
2021,충북,14.535606725295228
2021,충남,11.687786909678795
2021,전북,11.018167395310225
2021,전남,5.7449822560132455
2021,경북,7.88044294066112
2021,경남,10.915259087031547
2021,제주,6.763802933468196
2022,서울,39.78599331607597
2022,부산,15.861473636868517
2022,대구,16.13431532491976
2022,인천,20.895040642253555
2022,광주,11.573882033189534
2022,대전,14.423962571123111
2022,울산,9.297703061761773
2022,세종,14.417121677592739
2022,경기,20.335121174859577
2022,강원,11.94449418568457
2022,충북,14.515578362688167
2022,충남,11.690338201351512
2022,전북,10.950867716019259
2022,전남,5.720811120517653
2022,경북,7.846203123498861
2022,경남,10.832648183200744
2022,제주,6.797268698394647
2023,서울,39.64710401889418
2023,부산,15.784587267624811
2023,대구,9.490016039827342
2023,인천,21.771937387785933
2023,광주,11.482754257364029
2023,대전,14.388572177001999
2023,울산,10.549707726429276
2023,세종,14.55377685937087
2023,경기,20.577919523680297
2023,강원,12.244903759453436
2023,충북,14.520990603140453
2023,충남,11.787040726654661
2023,전북,10.917889465850015
2023,전남,5.960569512740194
2023,경북,8.040290445438904
2023,경남,10.789257542468128
2023,제주,6.800987116719807
2024,서울,39.4340875530048
2024,부산,15.67656010640941
2024,대구,9.450382798855946
2024,인천,21.9163854891185
2024,광주,11.38174767951925
2024,대전,14.357411784578533
2024,울산,10.450066259695998
2024,세종,14.623321948336116
2024,경기,20.5622534094443
2024,강원,12.1985438260917
2024,충북,14.480437631417372
2024,충남,11.846855865420954
2024,전북,10.851635703473665
2024,전남,5.950553384111375
2024,경북,7.998340299275456
2024,경남,10.769213433241877
2024,제주,6.744371972424133
2025,서울,39.4340875530048
2025,부산,15.67656010640941
2025,대구,9.450382798855946
2025,인천,21.9163854891185
2025,광주,11.38174767951925
2025,대전,14.357411784578533
2025,울산,10.450066259695998
2025,세종,14.623321948336116
2025,경기,20.5622534094443
2025,강원,12.1985438260917
2025,충북,14.480437631417372
2025,충남,11.846855865420954
2025,전북,10.851635703473665
2025,전남,5.950553384111375
2025,경북,7.998340299275456
2025,경남,10.769213433241877
2025,제주,6.744371972424133
