발생일시_년,발생장소_시도,논_비율,밭_비율
2015,서울,0.019370857961787235,0.03892812354509364
2015,부산,0.3843029503689244,0.32666266332225896
2015,대구,0.4255404323194719,0.5741905935646259
2015,인천,1.4803884581203262,0.865224016819104
2015,광주,0.7284110057994378,0.4729677556665518
2015,대전,0.17681627374563819,0.3501524904435077
2015,울산,0.6744615898997397,0.6327896780336583
2015,세종,0.5268227235557635,0.4508405939534007
2015,경기,10.535190340145498,10.344307784083883
2015,강원,4.291935940608311,8.860259214877459
2015,충북,4.904388470683713,8.69540473073902
2015,충남,16.81102100615166,8.576482363422976
2015,전북,14.79644103989363,8.974630949688134
2015,전남,20.391005544267472,15.516907422993992
2015,경북,13.963770411305196,19.157170769774627
2015,경남,9.888097813273001,8.038825910283089
2015,제주,0.0019878032428058546,8.124282278639516
2016,서울,0.01964858066914581,0.03289385713903672
2016,부산,0.3737695913653419,0.3457866445591421
2016,대구,0.44934964314381753,0.5451555103896452
2016,인천,1.4200565119973565,0.9080576578503998
2016,광주,0.6884818010603535,0.4962158692803466
2016,대전,0.17237163950659737,0.33803118230684887
2016,울산,0.6615766423031709,0.6636268820367448
2016,세종,0.5153286839135061,0.46613002433610573
2016,경기,10.406602816222136,10.191613403578211
2016,강원,4.215848589823598,8.900997512903484
2016,충북,4.890598712348128,8.738801379937422
2016,충남,16.905705791530792,8.513491830021662
2016,전북,14.831775773969873,9.07469312438157
2016,전남,20.48922733072915,15.319043671275374
2016,경북,14.049405016416614,19.06974567432407
2016,경남,9.90835500073124,8.088947129141818
2016,제주,0.0018978742691788569,8.306768646538123
2017,서울,0.01936399669700576,0.03103950434126779
2017,부산,0.37495015771799006,0.3306581174146514
2017,대구,0.4617787534723739,0.5381180667107043
2017,인천,1.413282222312237,0.8970249318755603
2017,광주,0.6858080005189491,0.46497347439317444
2017,대전,0.16859042295430457,0.3214805759528746
2017,울산,0.651677199418561,0.6487641270388002
2017,세종,0.5217906620452113,0.4557197355216057
2017,경기,10.259750066527417,10.182739385027606
2017,강원,4.125673567426095,8.92297647217813
2017,충북,4.683459183114728,8.809173524059176
2017,충남,17.176981603082382,8.556333096149316
2017,전북,15.068479666908935,9.111179748573724
2017,전남,20.552654064757675,15.359898418354437
2017,경북,14.031129189212349,19.091027999516605
2017,경남,9.802665618788408,8.199939409407179
2017,제주,0.0019656250453752256,8.078953413485188
2018,서울,0.018870326100095765,0.025722455768209918
2018,부산,0.36612049983151185,0.3310319699204162
2018,대구,0.4186846666949292,0.5491984906979094
2018,인천,1.3677299960207787,0.9089568320074969
2018,광주,0.6860771004752807,0.47053960679788914
2018,대전,0.16584413844510698,0.3185770443864276
2018,울산,0.6497187754231141,0.6093294816758722
